,ID,Year,Mo,Da,Hr,Mi,Sec,X,Y,Z,MHEL,Detection,ERR1,ERR2,AZIM,ERRZ
249,0,2018,6,5,4,14,44.719,25491081,6675702,-6087,-0.83,1,999999,999999,999999,999999
250,0,2018,6,5,4,18,19.513,25491081,6675702,-6087,-0.96,1,999999,999999,999999,999999
251,0,2018,6,5,4,23,27.294,25491081,6675702,-6087,-0.36,1,999999,999999,999999,999999
252,0,2018,6,5,4,23,38.991,25491081,6675702,-6087,-0.83,1,999999,999999,999999,999999
253,0,2018,6,5,4,26,16.766,25491081,6675702,-6087,-0.53,1,999999,999999,999999,999999
254,0,2018,6,5,4,26,37.739,25491081,6675702,-6087,-0.58,1,999999,999999,999999,999999
255,0,2018,6,5,4,41,55.848,25491081,6675702,-6087,-0.09,1,999999,999999,999999,999999
256,705,2018,6,5,4,42,4.673,25491054.82,6675809.072,-6077,-0.22,0,34,16,170,22
257,0,2018,6,5,4,43,40.483,25491081,6675702,-6087,-0.85,1,999999,999999,999999,999999
258,0,2018,6,5,4,45,55.804,25491081,6675702,-6087,-0.92,1,999999,999999,999999,999999
259,0,2018,6,5,4,53,12.523,25491081,6675702,-6087,-0.91,1,999999,999999,999999,999999
260,0,2018,6,5,4,54,3.018,25491081,6675702,-6087,-1.05,1,999999,999999,999999,999999
261,0,2018,6,5,4,55,44.001,25491081,6675702,-6087,-0.03,1,999999,999999,999999,999999
262,0,2018,6,5,4,56,53.468,25491081,6675702,-6087,-0.38,1,999999,999999,999999,999999
263,0,2018,6,5,4,57,25.213,25491081,6675702,-6087,-0.56,1,999999,999999,999999,999999
264,0,2018,6,5,5,1,55.126,25491081,6675702,-6087,-0.99,1,999999,999999,999999,999999
265,0,2018,6,5,5,5,42.426,25491081,6675702,-6087,-1.04,1,999999,999999,999999,999999
266,0,2018,6,5,5,8,32.495,25491081,6675702,-6087,-0.36,1,999999,999999,999999,999999
267,0,2018,6,5,5,9,45.284,25491081,6675702,-6087,-1.04,1,999999,999999,999999,999999
268,0,2018,6,5,5,12,44.048,25491081,6675702,-6087,-0.94,1,999999,999999,999999,999999
269,0,2018,6,5,5,14,27.284,25491081,6675702,-6087,-0.9,1,999999,999999,999999,999999
270,0,2018,6,5,5,19,2.594,25491081,6675702,-6087,-0.98,1,999999,999999,999999,999999
271,0,2018,6,5,5,19,38.41,25491081,6675702,-6087,-0.24,1,999999,999999,999999,999999
